,title,type,listed_in,director,country,rating,duration_value,duration_unit,release_year,date_added,added_year,added_month,added_day_of_month,added_week_day_number,added_week_day_name
0,Dick Johnson Is Dead,Movie,Documentaries,Kirsten Johnson,United States,PG-13,90,min,2020,2021-09-25,2021,9,25,5,saturday
1,Ganglands,TV Show,Crime TV Shows,Julien Leclercq,France,TV-MA,1,Season,2021,2021-09-24,2021,9,24,4,friday
2,Ganglands,TV Show,International TV Shows,Julien Leclercq,France,TV-MA,1,Season,2021,2021-09-24,2021,9,24,4,friday
3,Ganglands,TV Show,TV Action & Adventure,Julien Leclercq,France,TV-MA,1,Season,2021,2021-09-24,2021,9,24,4,friday
4,Midnight Mass,TV Show,TV Dramas,Mike Flanagan,United States,TV-MA,1,Season,2021,2021-09-24,2021,9,24,4,friday
5,Midnight Mass,TV Show,TV Horror,Mike Flanagan,United States,TV-MA,1,Season,2021,2021-09-24,2021,9,24,4,friday
6,Midnight Mass,TV Show,TV Mysteries,Mike Flanagan,United States,TV-MA,1,Season,2021,2021-09-24,2021,9,24,4,friday
7,Confessions of an Invisible Girl,Movie,Children & Family Movies,Bruno Garotti,Brazil,TV-PG,91,min,2021,2021-09-22,2021,9,22,2,wednesday
8,Confessions of an Invisible Girl,Movie,Comedies,Bruno Garotti,Brazil,TV-PG,91,min,2021,2021-09-22,2021,9,22,2,wednesday
9,Sankofa,Movie,Dramas,Haile Gerima,United States,TV-MA,125,min,1993,2021-09-24,2021,9,24,4,friday
10,Sankofa,Movie,Independent Movies,Haile Gerima,United States,TV-MA,125,min,1993,2021-09-24,2021,9,24,4,friday
11,Sankofa,Movie,International Movies,Haile Gerima,United States,TV-MA,125,min,1993,2021-09-24,2021,9,24,4,friday
12,The Great British Baking Show,TV Show,British TV Shows,Andy Devonshire,United Kingdom,TV-14,9,Seasons,2021,2021-09-24,2021,9,24,4,friday
13,The Great British Baking Show,TV Show,Reality TV,Andy Devonshire,United Kingdom,TV-14,9,Seasons,2021,2021-09-24,2021,9,24,4,friday
14,The Starling,Movie,Comedies,Theodore Melfi,United States,PG-13,104,min,2021,2021-09-24,2021,9,24,4,friday
15,The Starling,Movie,Dramas,Theodore Melfi,United States,PG-13,104,min,2021,2021-09-24,2021,9,24,4,friday
16,Motu Patlu in the Game of Zones,Movie,Children & Family Movies,Suhas Kadav,India,TV-Y7,87,min,2019,2021-05-01,2021,5,1,5,saturday
17,Motu Patlu in the Game of Zones,Movie,Comedies,Suhas Kadav,India,TV-Y7,87,min,2019,2021-05-01,2021,5,1,5,saturday
18,Motu Patlu in the Game of Zones,Movie,Music & Musicals,Suhas Kadav,India,TV-Y7,87,min,2019,2021-05-01,2021,5,1,5,saturday
19,Je Suis Karl,Movie,Dramas,Christian Schwochow,Germany,TV-MA,127,min,2021,2021-09-23,2021,9,23,3,thursday
20,Je Suis Karl,Movie,International Movies,Christian Schwochow,Germany,TV-MA,127,min,2021,2021-09-23,2021,9,23,3,thursday
21,Motu Patlu in Wonderland,Movie,Children & Family Movies,Suhas Kadav,India,TV-Y7,76,min,2013,2021-05-01,2021,5,1,5,saturday
22,Motu Patlu in Wonderland,Movie,Music & Musicals,Suhas Kadav,India,TV-Y7,76,min,2013,2021-05-01,2021,5,1,5,saturday
23,Motu Patlu: Deep Sea Adventure,Movie,Children & Family Movies,Suhas Kadav,India,TV-Y7,76,min,2014,2021-05-01,2021,5,1,5,saturday
24,Motu Patlu: Deep Sea Adventure,Movie,Comedies,Suhas Kadav,India,TV-Y7,76,min,2014,2021-05-01,2021,5,1,5,saturday
25,Motu Patlu: Mission Moon,Movie,Children & Family Movies,Suhas Kadav,India,TV-Y7,71,min,2013,2021-05-01,2021,5,1,5,saturday
26,Motu Patlu: Mission Moon,Movie,Comedies,Suhas Kadav,India,TV-Y7,71,min,2013,2021-05-01,2021,5,1,5,saturday
27,Bridgerton - The Afterparty,Movie,Movies,Krysia Plonka,United States,TV-14,39,min,2021,2021-07-13,2021,7,13,1,tuesday
28,Bridgerton - The Afterparty,Movie,Movies,Kristian Mercado,United States,TV-14,39,min,2021,2021-07-13,2021,7,13,1,tuesday
29,Bling Empire - The Afterparty,Movie,Movies,Krysia Plonka,United States,TV-MA,36,min,2021,2021-06-12,2021,6,12,5,saturday
30,Bling Empire - The Afterparty,Movie,Movies,Kristian Mercado,United States,TV-MA,36,min,2021,2021-06-12,2021,6,12,5,saturday
31,Cobra Kai - The Afterparty,Movie,Movies,Krysia Plonka,United States,TV-MA,34,min,2021,2021-06-12,2021,6,12,5,saturday
32,Cobra Kai - The Afterparty,Movie,Movies,Kristian Mercado,United States,TV-MA,34,min,2021,2021-06-12,2021,6,12,5,saturday
33,The Circle - The Afterparty,Movie,Comedies,Krysia Plonka,United States,TV-14,35,min,2021,2021-05-07,2021,5,7,4,friday
34,The Circle - The Afterparty,Movie,Comedies,Kristian Mercado,United States,TV-14,35,min,2021,2021-05-07,2021,5,7,4,friday
35,True: Winter Wishes,Movie,Children & Family Movies,Mark Thornton,United States,TV-Y,46,min,2019,2019-11-26,2019,11,26,1,tuesday
36,True: Winter Wishes,Movie,Children & Family Movies,Todd Kauffman,United States,TV-Y,46,min,2019,2019-11-26,2019,11,26,1,tuesday
37,True: Magical Friends,TV Show,Kids' TV,Mark Thornton,United States,TV-Y,1,Season,2018,2018-06-15,2018,6,15,4,friday
38,True: Magical Friends,TV Show,Kids' TV,Todd Kauffman,United States,TV-Y,1,Season,2018,2018-06-15,2018,6,15,4,friday
39,True: Wonderful Wishes,TV Show,Kids' TV,Mark Thornton,United States,TV-Y,1,Season,2018,2018-06-15,2018,6,15,4,friday
40,True: Wonderful Wishes,TV Show,Kids' TV,Todd Kauffman,United States,TV-Y,1,Season,2018,2018-06-15,2018,6,15,4,friday
41,Dance & Sing with True,TV Show,Kids' TV,Mark Thornton,United States,TV-Y,1,Season,2018,2018-05-18,2018,5,18,4,friday
42,Dance & Sing with True,TV Show,Kids' TV,Todd Kauffman,United States,TV-Y,1,Season,2018,2018-05-18,2018,5,18,4,friday
